ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_52,Myrmeleon_hyalinus,3,29,0,25.63,0,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
D_53,Myrmeleon_hyalinus,2,29,21.61,0,0,0,0,P,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_56,Myrmeleon_hyalinus,3,29,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_57,Myrmeleon_hyalinus,2,29,0,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
D_59,Myrmeleon_hyalinus,3,29,14.55,22.89,0,0,P,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_6,Myrmeleon_hyalinus,2,29,0,0,23.63,46.59,47.96,51.37,61.79,52.78,58.24,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,
D_60,Myrmeleon_hyalinus,1,29,0,25.14,29.75,38.39,41.36,44.74,47.28,48.76,0,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,,,,,,,I,,,,,,
D_68,Myrmeleon_hyalinus,3,29,20.96,34.31,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_70,Myrmeleon_hyalinus,3,29,10.12,17.32,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_74,Myrmeleon_hyalinus,3,29,22.31,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_76,Myrmeleon_hyalinus,1,29,17.69,15.96,21.24,25.85,25.95,26.31,32.99,24.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,
D_77,Myrmeleon_hyalinus,3,29,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_79,Myrmeleon_hyalinus,3,29,34.41,40.01,39.63,39.03,34.73,29.47,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_80,Myrmeleon_hyalinus,2,29,0,42.34,42.3,42.24,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_82,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_84,Myrmeleon_hyalinus,3,29,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_86,Myrmeleon_hyalinus,3,29,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_88,Myrmeleon_hyalinus,3,29,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_90,Myrmeleon_hyalinus,3,29,0,0,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_92,Myrmeleon_hyalinus,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,
D_94,Myrmeleon_hyalinus,3,29,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_96,Myrmeleon_hyalinus,3,29,0,0,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_98,Myrmeleon_hyalinus,3,29,24.7,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_10,Myrmeleon_almohadarum,3,29,48.06,50.43,49.07,49.3,49.13,48.72,P,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,
P_14,Myrmeleon_almohadarum,2,29,29.4,50.88,53.76,57.43,57.34,59.2,57.71,58.7,60.53,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,
P_17,Myrmeleon_almohadarum,2,29,51.34,54.9,0,0,0,0,P,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,
P_18,Myrmeleon_almohadarum,1,29,30.64,37.41,0,0,0,0,40.75,39.7,36.37,0,NA,48.07,NA,0,32.75,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,I,,,,,,,,
P_19,Myrmeleon_almohadarum,3,29,30.71,49.39,0,0,32.81,70.44,61.99,P,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,
